"EmpNum","LastName","FirstName","PhoneNumber","Status","Position","Supervisor","Address","SSS","PHILHEALTH","TIN","PAGIBIG","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate","Withholding Tax","Birthday"
"10011","Salcedo","Anthony","070-766-300","Regular","Payroll Manager","Alvaro  Roderick","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","26-9647608-3","126-445-315-651","210-805-911-000","218-002-473-454","50825.0","1500.0","1000.0","1000.0","25413.0","302.53","1125.0","9/14/1993"
"10012","Lopez","Josie","478-355-427","Regular","Payroll Team Leader","Salcedo  Anthony","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","44-8563448-3","431-709-011-012","218-489-737-000","113-071-293-354","38475.0","1500.0","800.0","800.0","19238.0","229.02","1125.0","1/14/1987"
"10013","Farala","Martha","329-034-366","Regular","Payroll Rank and File","Salcedo  Anthony","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte","45-5656375-0","233-693-897-247","210-835-851-000","631-130-283-546","24000.0","1500.0","500.0","500.0","12000.0","142.86","1080.0","1/11/1942"
"10014","Martinez","Leila","877-110-749","Regular","Payroll Rank and File","Salcedo  Anthony","37/46 Kulas Roads, Maragondon 0962 Quirino","27-2090996-4","515-741-057-496","275-792-513-000","101-205-445-886","24000.0","1500.0","500.0","500.0","12000.0","142.86","1080.0","7/11/1970"
"10015","Romualdez","Fredrick","023-079-009","Regular","Account Manager","Lim  Antonio","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","26-8768374-1","308-366-860-059","598-065-761-000","223-057-707-853","53500.0","1500.0","1000.0","1000.0","26750.0","318.45","1125.0","3/10/1985"
"10016","Mata","Christian","783-776-744","Regular","Account Team Leader","Romualdez  Fredrick","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu","49-2959312-6","824-187-961-962","103-100-522-000","631-052-853-464","42975.0","1500.0","800.0","800.0","21488.0","255.8","1125.0","10/21/1987"
"10017","De Leon","Selena","975-432-139","Regular","Account Team Leader","Romualdez  Fredrick","89A Armstrong Trace, Compostela 7874 Maguindanao","27-2090208-8","587-272-469-938","482-259-498-000","719-007-608-464","41850.0","1500.0","800.0","800.0","20925.0","249.11","1125.0","2/20/1975"
"10018","San Jose","Allison","179-075-129","Regular","Account Rank and File","Mata  Christian","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","45-3251383-0","745-148-459-521","121-203-336-000","114-901-859-343","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","6/24/1986"
"10019","Rosario","Cydney","868-819-912","Regular","Account Rank and File","Mata  Christian","93A/21 Berge Points, Tapaz 2180 Quezon","49-1629900-2","579-253-435-499","122-244-511-000","265-104-358-643","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","10/6/1996"
"10020","Bautista","Mark","683-725-348","Regular","Account Rank and File","Mata  Christian","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","49-1647342-5","399-665-157-135","273-970-941-000","260-054-585-575","23250.0","1500.0","500.0","500.0","11625.0","138.39","1057.5","2/12/1991"
"10021","Lazaro","Darlene","740-721-558","Probationary","Account Rank and File","Mata  Christian","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","45-5617168-2","606-386-917-510","354-650-951-000","104-907-708-845","23250.0","1500.0","500.0","500.0","11625.0","138.39","1057.5","11/25/1985"
"10022","Delos Santos","Kolby","739-443-033","Probationary","Account Rank and File","Mata  Christian","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","52-0109570-6","357-451-271-274","187-500-345-000","113-017-988-667","24000.0","1500.0","500.0","500.0","12000.0","142.86","1080.0","2/26/1980"
"10023","Santos","Vella","955-879-269","Probationary","Account Rank and File","Mata  Christian","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","52-9883524-3","548-670-482-885","101-558-994-000","360-028-104-576","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","12/31/1983"
"10024","Del Rosario","Tomas","882-550-989","Probationary","Account Rank and File","Mata  Christian","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","45-5866331-6","953-901-539-995","560-735-732-000","913-108-649-964","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","12/18/1978"
"10025","Tolentino","Jacklyn","675-757-366","Probationary","Account Rank and File","De Leon  Selena","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","47-1692793-0","753-800-654-114","841-177-857-000","210-546-661-243","24000.0","1500.0","500.0","500.0","12000.0","142.86","1080.0","5/19/1984"
"10026","Gutierrez","Percival","512-899-876","Probationary","Account Rank and File","De Leon  Selena","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","40-9504657-8","797-639-382-265","502-995-671-000","210-897-095-686","24750.0","1500.0","500.0","500.0","12375.0","147.32","1125.0","12/18/1970"
"10027","Manalaysay","Garfield","948-628-136","Probationary","Account Rank and File","De Leon  Selena","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","45-3298166-4","810-909-286-264","336-676-445-000","211-274-476-563","24750.0","1500.0","500.0","500.0","12375.0","147.32","1125.0","8/28/1986"
"10028","Villegas","Lizeth","332-372-215","Probationary","Account Rank and File","De Leon  Selena","66/77 Mann Views, Luisiana 1263 Dinagat Islands","40-2400719-4","934-389-652-994","210-395-397-000","122-238-077-997","24000.0","1500.0","500.0","500.0","12000.0","142.86","1080.0","12/12/1981"
"10029","Ramos","Carol","250-700-389","Probationary","Account Rank and File","De Leon  Selena","72/70 Stamm Spurs, Bustos 4550 Iloilo","60-1152206-4","351-830-469-744","395-032-717-000","212-141-893-454","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","8/20/1978"
"10030","Maceda","Emelia","973-358-041","Probationary","Account Rank and File","De Leon  Selena","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","54-1331005-0","465-087-894-112","215-973-013-000","515-012-579-765","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","4/14/1973"
"10031","Aguilar","Delia","529-705-439","Probationary","Account Rank and File","De Leon  Selena","95 Cremin Junction, Surallah 2809 Cotabato","52-1859253-1","136-451-303-068","599-312-588-000","110-018-813-465","22500.0","1500.0","500.0","500.0","11250.0","133.93","1012.5","1/27/1989"
"10032","Castro","John Rafael","332-424-955","Regular","Sales & Marketing","Reyes  Isabella","Hi-way, Yati, Liloan Cebu","26-7145133-4","601-644-902-402","404-768-309-000","697-764-069-311","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","2/9/1992"
"10033","Martinez","Carlos Ian","078-854-208","Regular","Supply Chain and Logistics","Reyes  Isabella","Bulala, Camalaniugan","11-5062972-7","380-685-387-212","256-436-296-000","993-372-963-726","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","11/16/1990"
"10034","Santos","Beatriz","526-639-511","Regular","Customer Service and Relations","Reyes  Isabella","Agapita Building, Metro Manila","20-2987501-5","918-460-050-077","911-529-713-000","874-042-259-378","52670.0","1500.0","1000.0","1000.0","26335.0","313.51","1125.0","8/7/1990"
"10035","test","test","test","test","test","NA","NA","12345","12345","12345","12345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","NA"
